City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,gerash,27.6652,54.1371,46.83,40,51,0.51,IR,1707530949
140,punta arenas,-53.15,-70.9167,51.91,76,0,12.66,CL,1707530949
141,tazacorte,28.629,-17.9293,68.97,98,75,8.01,ES,1707530949
142,scarborough,54.2797,-0.4044,47.77,94,100,1.01,GB,1707530949
143,matoury,4.8483,-52.3317,80.56,89,40,1.14,GF,1707530949
144,saint-pierre,-21.3393,55.4781,78.48,69,0,10.36,RE,1707530950
145,dolisie,-4.1997,12.6739,74.75,94,100,2.35,CG,1707530950
146,anaco,9.4389,-64.4728,76.39,79,55,1.77,VE,1707530950
147,fort st. john,56.2499,-120.8529,19.47,89,100,3.89,CA,1707530950
148,klyuchi,52.2667,79.1667,34.97,86,100,20.56,RU,1707530950
149,manta,-0.95,-80.7333,80.38,83,75,15.01,EC,1707530950
150,atafu village,-8.5421,-172.5159,83.44,79,98,14.05,TK,1707530950
151,iskateley,67.6803,53.1512,-2.97,90,13,11.99,RU,1707530950
152,cajabamba,-7.6167,-78.05,60.85,79,94,1.28,PE,1707530950
153,nebbi,2.4783,31.0889,72.63,60,27,0.74,UG,1707530951
154,la ronge,55.1001,-105.2842,19.65,79,100,13.8,CA,1707530716
155,byron bay,-28.65,153.6167,78.71,80,100,15.05,AU,1707530951
156,fort bragg,35.139,-79.006,55.98,85,100,3.44,US,1707530951
157,mata-utu,-13.2816,-176.1745,83.17,82,100,26.17,WF,1707530951
158,west island,-12.1568,96.8225,84.18,74,40,12.66,CC,1707530951
159,shiguai,40.7058,110.2856,18.0,85,59,6.22,CN,1707530658
160,el matama,16.7095,33.3565,68.58,21,5,10.29,SD,1707530951
161,ta`u,-14.2336,-169.5144,84.02,81,93,18.14,AS,1707530951
162,andujar,38.0392,-4.0508,56.7,83,76,19.53,ES,1707530952
163,nova sintra,14.8667,-24.7167,68.59,73,0,24.85,CV,1707530952
164,margate,51.3813,1.3862,49.89,96,91,7.0,GB,1707530699
165,tanjung pandan,-2.75,107.65,79.3,85,100,9.28,ID,1707530952
166,mitu,1.1983,-70.1733,75.54,95,57,0.92,CO,1707530952
167,dunedin,-45.8742,170.5036,53.8,84,100,10.0,NZ,1707530952
168,karratha,-20.7377,116.8463,99.91,28,0,5.59,AU,1707530952
169,graaff-reinet,-32.2522,24.5308,58.93,74,62,2.1,ZA,1707530952
170,ust-nera,64.5667,143.2,-20.97,99,100,3.18,RU,1707530952
171,bull savanna,17.8868,-77.5902,67.14,80,0,5.21,JM,1707530952
172,sainte-adresse,49.5089,0.0845,52.23,87,100,8.05,FR,1707530952
173,pampas,-12.4,-74.9,50.52,89,100,5.84,PE,1707530953
174,tidjikja,18.5564,-11.4271,71.83,9,0,8.28,MR,1707530953
175,valle de la pascua,9.2155,-66.0073,77.81,78,55,8.5,VE,1707530953
176,tolanaro,-25.0319,46.9987,76.26,88,32,13.71,MG,1707530953
177,syktyvkar,61.6764,50.8099,1.13,92,0,4.47,RU,1707530953
178,motygino,58.1831,94.7592,30.78,97,100,5.01,RU,1707530953
179,arraial do cabo,-22.9661,-42.0278,78.19,84,98,22.1,BR,1707530953
180,acolla,-11.7319,-75.5463,45.41,94,100,4.56,PE,1707530953
181,nouadhibou,20.931,-17.0347,66.18,77,0,14.97,MR,1707530953
